"Parameter change","18C >> 28.5C","28.5C >> 18C","28.5C >> 35.5C","35.5C >> 28.5C"
"Baseline",2.57256779958936,8.65966553114084,8.65966553114084,3.76211454333659
"VPD",-0.208289838367648,0.95853701927666,-0.552516531036957,0.106555080002247
"Tempearature",0.361852826485833,-1.32056581586177,-4.70106539246206,3.73620819736008
"SLA",2.81314353583569,-4.96280847366609,20.4982274797667,-2.21745605254791
"Vcmax and Jmax",-1.30878443225406,9.72978619641666,-7.06062595826748,12.6584078855211
"Ea and Deltas",0.239542832967458,2.17118770101112,6.02136858690903,-1.53843206022342
"g[1]",0.319393601927624,-0.863288300158154,-1.19463899780651,0.726565969953012
"alpha and theta",0.315445742395707,-2.26998532848815,2.56919049104449,-1.12844064473132
"Respiration",2.77631865113114,-4.90751127480353,-2.41217886254218,0.954849809851682
"allocations",1.57410258142138,-4.18365953855869,-5.57853242943427,6.81796306280015
"Y",-0.691044172980071,5.53915653477774,14.521390647342,-1.58507949494311
"k",-0.254589513386126,1.35473044293233,6.17809157295757,-1.23899964829147
