"Case.rm4to6","biomass.rm4to6","mass.diff.rm4to6"
"Baseline",8.65966553114084,8.65966553114084
"VPD",8.10714900010388,-0.552516531036957
"Tempearature",3.95860013867878,-4.70106539246206
"SLA",29.1578930109075,20.4982274797667
"Vcmax and Jmax",1.59903957287336,-7.06062595826748
"Ea and Deltas",14.6810341180499,6.02136858690903
"g[1]",7.46502653333433,-1.19463899780651
"alpha and theta",11.2288560221853,2.56919049104449
"Respiration",6.24748666859866,-2.41217886254218
"allocations",3.08113310170657,-5.57853242943427
"Y",23.1810561784828,14.521390647342
"k",14.8377571040984,6.17809157295757
